,ImageId,CellId,Cell_CCR4Sm149Di_Sm149,Cell_CD15Dy164Di_Dy164,Cell_CD16Nd146Di_Nd146,Cell_CD206Tm169Di_Tm169,Cell_CD20Sm147Di_Sm147,Cell_CD30Ho165Di_Ho165,Cell_CD31Nd144Di_Nd144,Cell_CD34Sm152Di_Sm152,Cell_CD3Er170Di_Er170,Cell_CD45RAGd155Di_Gd155,Cell_CD45ROYb173Di_Yb173,Cell_CD4Gd156Di_Gd156,Cell_CD68Tb159Di_Tb159,Cell_CD8Dy162Di_Dy162,Cell_CXCR3Nd142Di_Nd142,Cell_CXCR5Yb171Di_Yb171,Cell_DNA2Ir191Di_Ir191,Cell_DNAIr193Di_Ir193,Cell_EphrinB2Er166Di_Er166,Cell_FOXP3Dy163Di_Dy163,Cell_GranzymBEr167Di_Er167,Cell_HLADRYb174Di_Yb174,Cell_Histone3Gd160Di_Gd160,Cell_ICOSNd148Di_Nd148,Cell_Ki67Er168Di_Er168,Cell_Lag3Eu153Di_Eu153,Cell_MembraneIn115Di_In115,Cell_PD1NAT105Lu175Di_Lu175,Cell_PDL1Nd150Di_Nd150,Cell_PDL2Yb172Di_Yb172,Cell_TbetNd145Di_Nd145,Cell_Tim3Sm154Di_Sm154,Cell_VimentinNd143Di_Nd143,Cell_pStat3Gd158Di_Gd158,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,tSNE8718383312_1,tSNE8718383312_2,Phenograph5341189162,Phenograph8498759920
66,274864,66,0.731707317,0.146341463,0.097560976,1.146341463,4.87804878,0.195121951,0.048780488,0.170731707,0.56097561,14.2195122,2.170731707,2.12195122,1.804878049,0.365853659,7.317073171,0.195121951,35.02439024,59.19512195,0.243902439,0.390243902,2.365853659,0.219512195,152.9512195,5.12195122,0.146341463,0.12195122,5.829268293,0.048780488,0.56097561,0.56097561,0.146341463,0.609756098,1.756097561,1.268292683,41,0.548595498,0.872340426,0.569444444,1,24.149,8.424242043,7.043406851,-54.24977191,493.8780488,8.390243902,0.769230769,3,35,36,218,0,0,0,0,0,0,0,0,0,0,1
67,274864,67,0.5,0.1,0,0.9,1.6,0.1,0,0.2,0.3,10.6,0.5,1.1,1.1,0.3,5.2,0.1,48.9,86.3,0.7,0.2,2.1,0.2,126,0.3,0.1,0.1,4.8,0,0.2,0.2,0,1.1,1.2,0.4,10,0.84206954,0.909090909,0.625,1,9.552,5.241561777,2.827135795,-53.84544481,535.6,7.7,0.7,2,4,219,0,0,0,0,0,0,0,0,0,0,0,3
68,274864,68,0.540540541,0.135135135,0.108108108,0.783783784,3.675675676,0.135135135,0.054054054,0.351351351,0.513513514,14.51351351,2,1.756756757,1.189189189,0.351351351,8.864864865,0.135135135,32.21621622,56.59459459,0.243243243,0.243243243,2.108108108,0.351351351,109.6216216,1.081081081,0.162162162,0.108108108,6.081081081,0.108108108,0.243243243,0.486486486,0.216216216,0.297297297,0.702702703,0.891891892,37,0.73728967,0.948717949,0.770833333,1,19.195,8.459703395,5.715178908,21.4043143,652.3513514,8.351351351,0.25,2,95,190,0,0,0,0,0,0,0,0,0,0,0,3
69,274864,69,0.661538462,0.4,0.123076923,1.492307692,2.338461538,0.076923077,0.138461538,0.292307692,1.353846154,15.16923077,6.738461538,4.692307692,4.307692308,0.830769231,9.184615385,0.292307692,28.4,48.10769231,0.369230769,0.353846154,3.830769231,0.876923077,209.9076923,8.615384615,0.307692308,0.076923077,8.030769231,0.123076923,0.646153846,0.969230769,0.384615385,0.969230769,1.6,2.215384615,65,0.544698202,0.970149254,0.8125,1,26.39,10.01602825,8.399763225,-79.02484313,740.6,5.061538462,0.451612903,3,84,170,257,0,0,0,0,0,0,0,0,0,0,2
70,274864,70,0.641791045,0.313432836,0.223880597,0.955223881,0.388059701,0.537313433,0.179104478,0.23880597,0.358208955,3.417910448,1.104477612,1.313432836,1.298507463,0.71641791,8,0.119402985,11.44776119,18.85074627,0.701492537,0.23880597,2.746268657,0.313432836,149,2.253731343,0.104477612,0.119402985,6.014925373,0.074626866,0.313432836,0.656716418,0.298507463,0.731343284,1.179104478,1.537313433,67,0.600488814,0.957142857,0.744444444,1,27.978,10.49749558,8.394145522,53.52831529,1029.895522,9.208955224,0.272727273,1,345,0,0,0,0,0,0,0,0,0,0,0,0,6
71,274864,71,0.927536232,0.260869565,0.217391304,1.260869565,3.362318841,0.173913043,0.231884058,0.231884058,1.231884058,18.68115942,2.492753623,1.536231884,2.492753623,0.565217391,12.47826087,0.173913043,25.47826087,42.01449275,0.246376812,0.173913043,2.985507246,0.376811594,108.7391304,1.362318841,0.246376812,0.289855072,6.507246377,0.014492754,0.289855072,0.710144928,0.202898551,0.782608696,4.68115942,0.913043478,69,0.739269652,0.884615385,0.522727273,1,31.675,11.94295892,8.042502235,57.68706937,1237.84058,8.739130435,0.45,4,18,209,288,442,0,0,0,0,0,0,0,0,0,2
72,274864,72,0.755102041,0.285714286,0.244897959,1.510204082,3.408163265,0.12244898,0.06122449,0.265306122,0.367346939,14.89795918,1.551020408,1.612244898,1.612244898,0.408163265,9.510204082,0.204081633,26.26530612,42.75510204,0.591836735,0.326530612,2.571428571,0.346938776,148.4081633,0.653061224,0.12244898,0.06122449,6.326530612,0.020408163,0.326530612,0.775510204,0.224489796,0.326530612,1.693877551,1.020408163,49,0.810413633,0.875,0.544444444,1,27.523,10.86440028,6.36499719,33.14977696,1353.693878,6.020408163,0.096774194,1,211,0,0,0,0,0,0,0,0,0,0,0,0,1
73,274864,73,0.627906977,0.325581395,0.302325581,1.023255814,3.488372093,0.069767442,0.139534884,0.302325581,0.651162791,21.44186047,2.11627907,1.534883721,5.604651163,0.627906977,11.06976744,0.209302326,25.13953488,44.44186047,0.372093023,0.255813953,2.511627907,0.302325581,115.9767442,0.76744186,0.093023256,0.069767442,6.139534884,0.046511628,0.325581395,0.88372093,0.186046512,1.162790698,2.23255814,1.23255814,43,0.84508851,0.914893617,0.614285714,1,23.603,10.53639519,5.633035261,-64.8963802,1396.627907,8.11627907,0.75862069,4,41,47,136,329,0,0,0,0,0,0,0,0,0,1
74,274864,74,0.913043478,0.217391304,0.086956522,0.869565217,3.956521739,0.043478261,0.173913043,0.391304348,0.565217391,20.95652174,1.434782609,1.043478261,0.913043478,0.695652174,12.13043478,0.260869565,30.08695652,49.7826087,1.695652174,0.217391304,2.130434783,0.304347826,118.9130435,0.826086957,0.304347826,0.043478261,5.608695652,0.043478261,0.304347826,0.608695652,0.130434783,0.695652174,1.652173913,0.739130435,23,0.824262154,0.884615385,0.657142857,1,16.747,7.63044472,4.320421556,69.73261444,1482.521739,8.956521739,1,4,55,121,176,331,0,0,0,0,0,0,0,0,0,11
75,274864,75,1,0.266666667,0.3,1.2,4.033333333,0.166666667,0.1,0.333333333,1.166666667,14.16666667,4.6,2.566666667,1.533333333,0.533333333,9.533333333,0.066666667,13.63333333,23.93333333,0.466666667,0.2,1.766666667,0.5,104.1333333,2.8,0.366666667,0.066666667,5.366666667,0,0.3,0.733333333,0.233333333,0.766666667,1.533333333,0.766666667,30,0.390725441,0.833333333,0.535714286,1,19.683,6.861345563,6.315918457,-80.02055489,1661.1,8.566666667,0.25,2,213,352,0,0,0,0,0,0,0,0,0,0,0,2
76,274864,76,1.522727273,0.522727273,0.090909091,1.613636364,4.5,0.295454545,0.295454545,0.613636364,0.681818182,20.31818182,3.977272727,2.886363636,5.681818182,0.818181818,12.52272727,0.25,31.52272727,49.52272727,0.227272727,0.227272727,4.295454545,0.477272727,218.0227273,1.363636364,0.204545455,0.159090909,7.636363636,0.045454545,0.295454545,1.068181818,0.25,1,3.613636364,1.340909091,44,0.89380456,0.6875,0.571428571,1,31.071,13.08627742,5.868628741,-86.51991798,33.61363636,6.340909091,0.142857143,3,22,138,264,0,0,0,0,0,0,0,0,0,0,1
77,274864,77,0.416666667,0.25,0.166666667,1.5,1.666666667,0.25,0.25,0.75,0.416666667,17.41666667,2.166666667,1.75,2.833333333,0.75,9,0.333333333,44.91666667,85.25,0.166666667,0.333333333,3.916666667,0.75,236.6666667,1.166666667,0.083333333,0.166666667,6.833333333,0.166666667,0.583333333,0.75,0.083333333,1.083333333,0.833333333,1.916666667,12,0.821944765,0.923076923,0.8,1,10.015,5.418786822,3.086363275,-4.836677716,208.9166667,8.25,0.583333333,2,89,318,0,0,0,0,0,0,0,0,0,0,0,3
