,ImageId,CellId,Cell_CCR4Sm149Di_Sm149,Cell_CD15Dy164Di_Dy164,Cell_CD16Nd146Di_Nd146,Cell_CD206Tm169Di_Tm169,Cell_CD20Sm147Di_Sm147,Cell_CD30Ho165Di_Ho165,Cell_CD31Nd144Di_Nd144,Cell_CD34Sm152Di_Sm152,Cell_CD3Er170Di_Er170,Cell_CD45RAGd155Di_Gd155,Cell_CD45ROYb173Di_Yb173,Cell_CD4Gd156Di_Gd156,Cell_CD68Tb159Di_Tb159,Cell_CD8Dy162Di_Dy162,Cell_CXCR3Nd142Di_Nd142,Cell_CXCR5Yb171Di_Yb171,Cell_DNA2Ir191Di_Ir191,Cell_DNAIr193Di_Ir193,Cell_EphrinB2Er166Di_Er166,Cell_FOXP3Dy163Di_Dy163,Cell_GranzymBEr167Di_Er167,Cell_HLADRYb174Di_Yb174,Cell_Histone3Gd160Di_Gd160,Cell_ICOSNd148Di_Nd148,Cell_Ki67Er168Di_Er168,Cell_Lag3Eu153Di_Eu153,Cell_MembraneIn115Di_In115,Cell_PD1NAT105Lu175Di_Lu175,Cell_PDL1Nd150Di_Nd150,Cell_PDL2Yb172Di_Yb172,Cell_TbetNd145Di_Nd145,Cell_Tim3Sm154Di_Sm154,Cell_VimentinNd143Di_Nd143,Cell_pStat3Gd158Di_Gd158,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11,Phenograph2387869802
71,372149,71,1.80952381,0.214285714,0.238095238,1.5,1.142857143,0.023809524,0.30952381,1.476190476,1.761904762,7.095238095,11.30952381,2.5,3.047619048,1.071428571,26.28571429,0.547619048,31.61904762,53.85714286,0.595238095,0.619047619,4.452380952,0.976190476,118.3571429,0.5,0.214285714,0.214285714,4.619047619,0.047619048,0.30952381,1.023809524,0.452380952,1.261904762,4.619047619,1.142857143,42,0.752959999,0.763636364,0.525,1,27.705,10.06422978,6.622930343,-3.228559853,1046.380952,9.595238095,0.551724138,4,14,89,142,200,0,0,0,0,0,0,0,13
72,372149,72,2.516129032,0.419354839,0.290322581,2,1.129032258,0.225806452,0.580645161,0.483870968,4.548387097,4.935483871,16.29032258,3.064516129,2.032258065,12.96774194,26.38709677,0.483870968,17.5483871,32,1.129032258,1.548387097,3.870967742,1.129032258,137.483871,1.129032258,1.096774194,0.548387097,6.193548387,0.032258065,0.612903226,1.709677419,0.419354839,2,6.225806452,2.161290323,31,0.751648911,0.911764706,0.645833333,1,18.641,7.973805017,5.259230161,17.67005346,1202.83871,9.774193548,0.727272727,3,35,129,188,0,0,0,0,0,0,0,0,1
73,372149,73,3.25,0.5,0.464285714,2.75,1.357142857,0.071428571,0.321428571,0.464285714,3,4.857142857,16.17857143,6.142857143,8.178571429,6,34.78571429,0.5,25.75,46.89285714,0.75,0.607142857,5.428571429,1.25,170.5357143,1.035714286,1.571428571,0.25,7.428571429,0.035714286,0.642857143,2.464285714,0.75,3.428571429,6.75,1.678571429,28,0.580899561,0.8,0.5,1,20.51,7.577544459,6.167933609,27.41005463,529.0357143,10.85714286,0.652173913,2,6,175,0,0,0,0,0,0,0,0,0,1
74,372149,74,1.4,0.466666667,0.333333333,1.866666667,0.133333333,0.066666667,0.266666667,0.2,3.2,1.133333333,12.13333333,2.733333333,2.066666667,1.533333333,18.13333333,0.266666667,24.66666667,45.8,0.933333333,0.666666667,2.933333333,0.533333333,112.4,0.533333333,0.066666667,0.066666667,5.933333333,0,0.8,1.8,0.266666667,1.466666667,4.733333333,1.133333333,15,0.418927635,0.882352941,0.6,1,12.645,5.062263185,4.596634312,35.78252559,821.3333333,10,1,3,9,97,125,0,0,0,0,0,0,0,0,3
75,372149,75,3.321428571,0.5,0.214285714,1.964285714,0.357142857,0.214285714,0.357142857,0.214285714,5.714285714,7.607142857,23.07142857,7.642857143,3.428571429,11.32142857,27.92857143,0.678571429,24.35714286,41.89285714,1.035714286,1.142857143,5,1.321428571,162.5357143,1.571428571,1.071428571,0.392857143,4.5,0.035714286,0.607142857,1.75,0.428571429,1.928571429,5.035714286,1.321428571,28,0.266627169,0.933333333,0.777777778,1,16.474,6.339595901,6.110100927,0,849,10.5,0.6,3,107,165,242,0,0,0,0,0,0,0,0,1
76,372149,76,3.179487179,0.435897436,0.487179487,1.743589744,0.846153846,0.153846154,0.461538462,0.384615385,5.051282051,6.230769231,22.20512821,5.820512821,3.102564103,8.974358974,33.17948718,0.615384615,28.48717949,49.1025641,0.512820513,1.230769231,5.615384615,0.769230769,169.0769231,1.435897436,0.538461538,0.307692308,5.923076923,0.025641026,0.692307692,2.461538462,0.41025641,2.282051282,3.051282051,1.615384615,39,0.831152186,0.928571429,0.541666667,1,23.413,10.21780891,5.681561566,-39.27947807,891.0769231,8.948717949,0.517241379,4,25,118,127,244,0,0,0,0,0,0,0,1
77,372149,77,1.939393939,0.272727273,0.484848485,1.060606061,4.909090909,0.181818182,0.636363636,0.333333333,2.242424242,16.45454545,7.03030303,4.060606061,2.939393939,1.090909091,29.24242424,0.454545455,21.57575758,37.18181818,0.878787879,0.696969697,5.060606061,0.787878788,127.6666667,0.575757576,0.393939394,0.242424242,4.606060606,0.060606061,0.696969697,1.787878788,0.575757576,1.606060606,17.21212121,1.787878788,33,0.9290815,0.868421053,0.5,1,23.231,11.45766154,4.237903352,-20.97593668,933.5757576,9.151515152,0.482758621,3,88,141,206,0,0,0,0,0,0,0,0,2
78,372149,78,2.545454545,0.181818182,0.272727273,1.090909091,1.636363636,0,0.272727273,0.272727273,1.636363636,15.72727273,8.363636364,3,2.181818182,3.636363636,28.54545455,0.363636364,22.90909091,40.90909091,1,0.272727273,4.181818182,0.454545455,77.72727273,0.727272727,0.181818182,0.090909091,7.363636364,0.181818182,0.272727273,1.545454545,0.363636364,1.636363636,4.454545455,0.727272727,11,0.843570359,0.846153846,0.55,1,11.785,5.908669126,3.173065618,57.60056182,1221.909091,10.27272727,0.909090909,2,129,130,0,0,0,0,0,0,0,0,0,15
79,372149,79,2.76,0.2,0.32,1.48,2.22,0.14,0.4,0.52,1.52,13.08,10.78,1.12,2.72,9.72,27.66,0.48,22.92,37.26,0.68,0.78,4.32,0.92,142.52,0.58,0.2,0.72,6.2,0.06,0.72,2.14,0.5,2.04,5.18,1.66,50,0.770305241,0.925925926,0.793650794,1,24.868,10.38722239,6.623675541,10.76775405,1243.14,9.96,0.714285714,4,40,100,172,268,0,0,0,0,0,0,0,1
80,372149,80,3.222222222,0.296296296,0.148148148,2.222222222,3.037037037,0.074074074,0.148148148,0.481481481,2.111111111,18.37037037,7.740740741,5.074074074,9.148148148,4.407407407,26.77777778,0.518518519,17.11111111,31.03703704,0.259259259,0.62962963,11.25925926,0.62962963,166.5185185,0.62962963,0.925925926,0.296296296,6.740740741,0.074074074,0.481481481,2.148148148,0.444444444,2.185185185,5.037037037,1.407407407,27,0.793414691,0.964285714,0.771428571,1,16.565,7.761368956,4.724201438,75.94620029,22.25925926,10.2962963,0.75,3,61,65,211,0,0,0,0,0,0,0,0,2
