"","ROIID","Cell_191Ir_Ir191","Cell_193Ir_Ir193","Cell_CD11b_Sm149","Cell_CD138_Eu151","Cell_CD14_Nd144","Cell_CD15_Dy164","Cell_CD163_Gd155","Cell_CD16_Nd146","Cell_CD20_Sm147","Cell_CD31_Dy161","Cell_CD3_Er170","Cell_CD4_Gd156","Cell_CD68_Nd150","Cell_CD8a_Dy162","Cell_Caspase3_Lu175","Cell_FOXP3_Dy163","Cell_Granzyme_Er167","Cell_HLAABC_Yb172","Cell_HLADR_Yb174","Cell_HLAE_Sm152","Cell_Histone3_Yb171","Cell_IDO_Yb173","Cell_Ki67_Er168","Cell_LAG3_Eu153","Cell_NKG2A_Nd143","Cell_MUM1_Pr141","Cell_NKG2D_Nd148","Cell_NKp46_Er166","Cell_PD1_Ho165","Cell_PDL1_Tb159","Cell_TreatmentDrug_Gd160","Cell_TIM3_Sm154","Cell_ULBP256_Yb176","Cell_Caspase_Lu175","Area","Eccentricity","Solidity","Extent","EulerNumber","Perimeter","MajorAxisLength","MinorAxisLength","Orientation","Percent_Touching","Number_Neighbors","X_position","Y_position","neighbour_4_CellId1","neighbour_4_CellId2","neighbour_4_CellId3","neighbour_4_CellId4","neighbour_4_CellId5","N"
"4","ROIID_12",14.0124255079651,24.1987550678972,1.41711519571674,1.8322986534884,0.972164334456049,0.409677501844988,0.30546887508071,0.1197816839179,0.430681419819634,0.668530766792743,0.486591431690869,0.443370968465438,4.24390212612077,0.502828428466726,0.727972213241503,0.310963460615499,21.9111923239196,12.1705672003718,1.20788964139752,0.524937380279638,166.227784037787,2.04280665595182,1.34541851900521,1.96164843096537,1.05066796002129,0.469286930076696,1.15289081434284,0.511589090525846,0.318916242950397,0.507051582831588,0.456317376142445,0.270558053398466,0.846678933754192,0,80.2705705140275,0.711293411928622,0.887667537675286,0.621853277013478,1.00866126906421,32.7924795707023,12.7038452818107,8.3444278311522,0.26873653476553,0.773601876279331,4.99755225004707,480.546281815071,460.424944612752,2591.80756919601,2601.8156655997,2540.4684616833,2322.29052909057,1757.05140274901,5311
"5","ROIID_13",14.3757497623509,24.7699240016879,1.17932297554039,1.53141617149966,0.88707488759721,0.412868609695572,0.263019326581733,0.112664974866405,0.434685223282718,0.63460760264773,0.432480619687825,0.36936365245701,3.72131333556872,0.478829385611324,0.656743649991716,0.276586398180365,18.4230980353811,10.6737193536095,1.04042876861148,0.446097623432911,155.337657027288,1.87330462563921,1.17365749345379,1.27157843785329,1.00704522370189,0.444811961245815,0.970556197166209,0.442993663094509,0.133511733974868,0.571253148389997,0.401942653288548,0.253359793606329,0.746710349891941,0,80.1258358662614,0.724307889498375,0.884232786521624,0.614295619148838,1.01215805471125,32.9647139817629,12.8599949008652,8.23983107578106,-0.106742463380295,0.745747308416559,4.72948328267477,385.80348083949,421.599475883136,1596.6376899696,1602.4358662614,1562.87720364742,1356.83404255319,946.364133738602,3290
"6","ROIID_14",9.90910074490836,17.0789966924529,1.22048122518625,1.53372140969882,1.00728949440557,0.527273294729559,0.297588237897152,0.10793705609998,0.476081638784797,0.663752245074297,0.424527203458441,0.48920483899742,2.65477468799387,0.467280482087996,0.662075187683263,0.284015002520564,13.0359659173231,11.515955735502,1.03274680630634,0.481560199936499,138.45449274278,2.13749024589786,0.77062698719278,1.86801017992305,1.07369983050973,0.468353732489215,0.798013735809326,0.389010642394587,0.189027884680304,0.449085332868333,0.523219163211055,0.323682222493482,1.0794080206415,0,84.6190670197596,0.722511361403306,0.881738108752552,0.612105125914822,1.01548176818089,33.9080620289265,13.2148818022239,8.39754760204267,2.669232107784,0.74535992526749,4.79629252393563,727.675795990632,750.196001194278,4813.76481971888,4788.70554084335,4631.52067630882,4092.04939906295,2994.15471582807,9818
"7","ROIID_15",21.3533639344555,36.9917828698749,0.666683628816793,1.58240499641515,1.10253943204655,0.317987245156247,0.602799404038301,0.11189567255358,0.439222236440958,0.474334112182661,0.538475617113333,0.798822714994299,1.52294006848418,0.357430076904444,0.614083409675293,0.283747453731068,11.1870498626325,14.773586275453,1.16608210472216,0.544151653363389,166.946528846288,2.15917425063438,0.947511921788768,1.11444769609915,1.40183142438735,0.529183243659278,0.873745060304763,0.424970329277896,0.182597440113845,0.350942814732567,1.01264943331821,0.355253370601914,1.03353651216973,0,105.517186673718,0.731739663943755,0.858658501739044,0.585705572362348,1.05658381808567,39.3928619777895,15.5759384779361,9.24455994845563,2.67340343246046,0.559784955032045,3.51771549444738,628.772068934907,593.894619905483,906.367530407192,858.132205182443,729.417239555791,544.277102062401,318.125330512956,1891
"8","ROIID_16",26.6010426081149,45.7786758375645,0.581897044844481,3.07903001718014,0.983454041985434,0.321618973133948,0.344178980209164,0.0890380320771917,0.491682768269213,0.311527213769592,0.404714231640295,0.44761358983091,1.2869596324589,0.26919011810013,0.456063962736533,0.217990975844067,5.89988279903733,10.8361351509654,0.909851691159267,0.44046968204794,114.883248922438,2.81795942515948,0.602366227459414,1.39344524103898,1.15959995878781,0.41295493332315,0.871262439244713,0.315584184787469,0.141514404985315,0.262840384055305,0.785126396770224,0.277839285988219,0.908327339179396,0,96.2550930026572,0.724036723434948,0.869657673855667,0.602641250319234,1.05934455270151,36.5691665190434,14.2969093573372,8.9154371136039,1.53589235852773,0.538872516144361,3.42249778565102,353.712949645683,420.258657123835,495.222320637732,423.630646589903,330.476527900797,255.620903454384,150.215234720992,1129
"9","ROIID_17",6.16952700330781,10.5522378394705,0.234315195564954,1.41074640754226,0.782555603901328,0.118742971140957,0.273593174583441,0.0773996840404611,0.977891605537402,1.21127651315629,0.195074531570251,0.234929782082216,0.344122870211226,0.15060161859493,3.14855834745968,0.199969706176656,1.90440489107872,4.43695408627597,0.53092593579393,0.304538456158408,51.6904871236046,1.9135574039105,0.13100419255959,13.2685218672451,0.660323179983658,0.324721872219851,1.52149582258871,0.192051979084773,0.13476588805422,3.98010367019321,0.41464810053027,0.419202359931298,0.567391244758034,0,109.998587570621,0.770701111583578,0.823102898878927,0.554553393468017,1.19491525423729,40.8793036723164,16.7116889884981,9.26913702224643,12.3729988015822,0.253415075398756,1.74858757062147,563.448941371428,476.900953285627,244.665254237288,180.631355932203,117.043785310734,62.4505649717514,26.3912429378531,708
"10","ROIID_18",25.6619224638597,43.9545205886056,0.337075465205541,2.20874325462847,0.550193690088595,0.121073561180766,1.57361994312937,0.08675706594888,1.91113925960557,0.224567643875764,0.154753144823204,2.19827992820418,0.516123495041883,0.117873924598955,0.173816030855834,0.138386228227987,0.959064113913611,2.90675496595393,0.400966648932661,0.30221795974753,34.6526866271785,0.678554848689778,0.100007858738984,6.75352815055732,0.545644383649832,0.457894123372405,2.77079097692484,0.229583798440568,0.134390390059929,0.242195304753166,3.71433765553722,0.758585456551434,0.833716527444328,0,127.622222222222,0.741977402302847,0.818092578246268,0.55212345459089,1.24,42.6547333333333,17.7645940964463,9.73205589937567,6.65268036922816,0.256795020120361,1.55555555555556,513.220577360502,446.229282974256,167.784444444444,117.173333333333,45.7466666666667,13.1288888888889,2.23777777777778,450
"11","ROIID_19",14.9777030292211,25.5250145647117,0.490042685990457,0.988692958124172,0.753271303869722,0.285466573381855,0.359513583648066,0.0698791466564276,0.245514005976806,0.495491766469109,0.332886872163747,0.592714855626574,1.88993121721242,0.206152778297239,0.459079513745747,0.183953699512014,4.71969521346759,11.8824470377448,0.734439008273068,0.393391977103711,94.3624720380329,1.43837632748624,0.361105659903432,0.768686685335151,0.742980828172555,0.303048172329879,0.480917468617189,0.274908690533629,0.141199042437504,0.256129992513233,0.602366398990961,0.289484654627281,1.26435879105622,0,109.426573426573,0.741826587683851,0.857697193093976,0.583351375960011,1.03170163170163,40.3568,15.5278080034511,9.40149898489057,3.98206141067731,0.654333491362099,4.30955710955711,481.957931108359,544.926486156955,1035.54592074592,1022.12867132867,960.717016317016,809.459673659674,563.81351981352,2145
"12","ROIID_2",20.0114469856827,35.4394194028137,1.55353696473628,2.10942002406445,1.39822950152173,0.581233802089592,0.649459406043007,0.25127583058834,0.525984823245196,0.722832801124583,0.792923799835117,0.862271269165808,2.74542545950411,0.473680335806761,1.28360811660763,0.462158821000811,16.4854978580256,26.8507675305597,2.08152266389938,0.718632670418831,338.324427842837,4.15109670657872,1.40333186853972,1.56441551693259,2.87902089192902,0.938327492109745,2.76049415236187,0.565410179833232,0.509245003481571,0.522231033911806,0.757782619701169,0.706954506402666,1.3963342048875,0,121.552619589977,0.735621168928681,0.855643861479263,0.587981322470006,1.06605922551253,42.5245002277904,16.3473580810944,9.82018512100442,4.80692957872969,0.642019868524252,4.23507972665148,465.030524549798,547.975285321204,1049.91662870159,1022.97312072893,932.518906605923,762.117995444191,526.986788154897,2195
"13","ROIID_20",10.4323234004987,18.344214217522,2.56199018426342,1.24680073352624,1.75309451112741,0.674867438790043,3.20783971823879,0.553744501945616,2.36909151974231,0.574233976035911,1.45955777113833,1.25682688549669,0.666658789908979,0.663047310547245,0.723208809594611,0.617712084323808,4.98980355020873,5.96292473327872,2.36276350812576,3.49809748653676,69.6294845430291,1.6904705993789,0.973700960054909,2.29910974840315,0.709113282341942,2.95120556384976,2.46619397934964,2.43890472238283,2.63518754886908,1.71006682504565,2.10819380114386,0.925901497316179,2.20732255907214,0,107.101839237057,0.731692600621955,0.859171992245724,0.591150142269421,1.04972752043597,39.1581723433243,15.2523025023976,9.25337012565849,1.42586551917282,0.562091298884763,3.6716621253406,1214.03215407296,727.015089847793,1387.76328337875,1273.19482288828,1086.40837874659,832.45742506812,546.672683923706,2936
